"","share_issue","share","issue","lobbyist"
"Y0000000011L","0.705882352941177-BUD",0.705882352941177,"BUD","Y0000000011L"
"Y0000000020L","1-TRA",1,"TRA","Y0000000020L"
"Y0000000030L","0.540540540540541-BUD",0.540540540540541,"BUD","Y0000000030L"
"Y0000000035L","1-INS",1,"INS","Y0000000035L"
"Y0000000037L","0.148377097009482-HCR",0.148377097009482,"HCR","Y0000000037L"
"Y0000000038L","0.142857142857143-RES",0.142857142857143,"RES","Y0000000038L"
"Y0000000039L","0.2-NAT",0.2,"NAT","Y0000000039L"
"Y0000000041L","0.697861594670105-INS",0.697861594670105,"INS","Y0000000041L"
"Y0000000043L","0.346534653465347-ENG",0.346534653465347,"ENG","Y0000000043L"
"Y0000000044L","0.412168784252318-MMM",0.412168784252318,"MMM","Y0000000044L"
"Y0000000048L","0.111111111111111-TAX",0.111111111111111,"TAX","Y0000000048L"
"Y0000000060L","1-UTI",1,"UTI","Y0000000060L"
"Y0000000069L","0.111111111111111-SCI",0.111111111111111,"SCI","Y0000000069L"
"Y0000000072L","0.903162173471218-AVI",0.903162173471218,"AVI","Y0000000072L"
"Y0000000073L","0.5-TOR",0.5,"TOR","Y0000000073L"
"Y0000000077L","NaN-WEL",NA,"WEL","Y0000000077L"
"Y0000000090L","0.6875-CAW",0.6875,"CAW","Y0000000090L"
"Y0000000094L","1-AGR",1,"AGR","Y0000000094L"
"Y0000000101L","1-ENG",1,"ENG","Y0000000101L"
"Y0000000116L","0.273049645390071-LAW",0.273049645390071,"LAW","Y0000000116L"
"Y0000000127L","1-ANI",1,"ANI","Y0000000127L"
"Y0000000133L","1-DEF",1,"DEF","Y0000000133L"
"Y0000000134L","0.239583333333333-PHA",0.239583333333333,"PHA","Y0000000134L"
"Y0000000143L","0.5625-MED",0.5625,"MED","Y0000000143L"
"Y0000000148L","0.155566851830007-SCI",0.155566851830007,"SCI","Y0000000148L"
"Y0000000158L","0.29302758503977-HCR",0.29302758503977,"HCR","Y0000000158L"
"Y0000000159L","0.439024390243902-RES",0.439024390243902,"RES","Y0000000159L"
"Y0000000162L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000000162L"
"Y0000000164L","1-DEF",1,"DEF","Y0000000164L"
"Y0000000180L","0.142857142857143-TRD",0.142857142857143,"TRD","Y0000000180L"
"Y0000000185L","0.119446075406703-AGR",0.119446075406703,"AGR","Y0000000185L"
"Y0000000187L","0.250783699059561-EDU",0.250783699059561,"EDU","Y0000000187L"
"Y0000000198L","0.333333333333333-TAX",0.333333333333333,"TAX","Y0000000198L"
"Y0000000199L","0.767098436196074-MMM",0.767098436196074,"MMM","Y0000000199L"
"Y0000000205L","0.566371681415929-BUD",0.566371681415929,"BUD","Y0000000205L"
"Y0000000210L","0.685714285714286-IND",0.685714285714286,"IND","Y0000000210L"
"Y0000000213L","0.469972597718956-MMM",0.469972597718956,"MMM","Y0000000213L"
"Y0000000215L","1-ENV",1,"ENV","Y0000000215L"
